id	indexname	unit	year
n1	総人口	万人	2013
n2	総人口〔男〕	万人	2013
n3	総人口〔女〕	万人	2013
n4	外国人人口（人口10万人当たり）	人	2010
n5	人口割合（対全国総人口）	％	2013
n6	人口密度（総面積１k㎡当たり）	人	2013
n7	人口密度（可住地面積１k㎡当たり）	人	2013
n8	昼夜間人口比率	％	2010
n9	人口集中地区人口比率（対総人口）	％	2010
n10	年少人口割合［15歳未満］（対総人口）	％	2013
n11	老年人口割合［65歳以上］（対総人口）	％	2013
n12	生産年齢人口割合［15～64歳］（対総人口）	％	2013
n13	年少人口指数（年少人口／生産年齢人口×100）	－	2013
n14	老年人口指数（老年人口／生産年齢人口×100）	－	2013
n15	従属人口指数（（年少＋老年人口）／生産年齢人口×100）	－	2013
n16	人口増減率（（総人口－前年総人口）／前年総人口）	％	2013
n17	自然増減率（（出生数－死亡数）／総人口）	％	2013
n18	粗出生率（人口千人当たり）	－	2013
n19	合計特殊出生率	－	2013
n20	粗死亡率（人口千人当たり）	－	2013
n21	年齢調整死亡率［男］（人口千人当たり）	－	2010
n22	年齢調整死亡率［女］（人口千人当たり）	－	2010
n23	年齢別死亡率［０～４歳］（人口千人当たり）	－	2013
n24	年齢別死亡率［65歳以上］（人口千人当たり）	－	2013
n25	社会増減率（（転入者数－転出者数）／総人口）	％	2013
n26	転入率（転入者数／総人口）	％	2013
n27	転出率（転出者数／総人口）	％	2013
n28	流入人口比率（対総人口）	％	2010
n29	流出人口比率（対総人口）	％	2010
n30	一般世帯数	万世帯	2010
n31	全国一般世帯に占める一般世帯割合	％	2010
n32	一般世帯の平均人員	人	2010
n33	核家族世帯の割合（対一般世帯数）	％	2010
n34	単独世帯の割合（対一般世帯数）	％	2010
n35	65歳以上の世帯員のいる世帯割合（対一般世帯数）	％	2010
n36	高齢夫婦のみの世帯割合（対一般世帯数）	％	2010
n37	高齢単身世帯の割合（対一般世帯数）	％	2010
n38	共働き世帯割合（対一般世帯数）	％	2010
n39	婚姻率（人口千人当たり）	－	2013
n40	離婚率（人口千人当たり）	－	2013
n41	総面積[北方地域及び竹島を含む]	100k㎡	2013
n42	面積割合[北方地域及び竹島を除く]（対全国総面積）	％	2013
n43	森林面積割合[北方地域及び竹島を除く]（対総面積）	％	2009
n44	自然公園面積割合[北方地域及び竹島を除く]（対総面積）	％	2013
n45	可住地面積割合[北方地域及び竹島を除く]（対総面積）	％	2013
n46	年平均気温	ﾟC	2013
n47	最高気温（日最高気温の月平均の最高値）	ﾟC	2013
n48	最低気温（日最低気温の月平均の最低値）	ﾟC	2013
n49	年平均相対湿度	％	2013
n50	日照時間（年間）	時間	2013
n51	降水量（年間）	mm	2013
n52	快晴日数（年間）	日	2013
n53	降水日数（年間）	日	2013
n54	雪日数（年間）	日	2013
n55	１人当たり県民所得	千円	2011
n56	県内総生産額対前年増加率	％	2011
n57	県民総所得［実質］対前年増加率	％	2011
n58	県民所得対前年増加率	％	2011
n59	県民総所得［名目］対前年増加率	％	2011
n60	第２次産業事業所数構成比（対事業所数）	％	2009
n61	第３次産業事業所数構成比（対事業所数）	％	2009
n62	従業者１～４人の事業所割合（対民営事業所数）	％	2011
n63	従業者100～299人の事業所割合（対民営事業所数）	％	2011
n64	従業者300人以上の事業所割合（対民営事業所数）	％	2011
n65	第２次産業従業者数（１事業所当たり）	人	2009
n66	第３次産業従業者数（１事業所当たり）	人	2009
n67	従業者１～４人の事業所の従業者割合（対民営事業所従業者数）	％	2011
n68	従業者100～299人の事業所の従業者割合（対民営事業所従業者数）	％	2011
n69	従業者300人以上の事業所の従業者割合（対民営事業所従業者数）	％	2011
n70	就業者１人当たり農業産出額［販売農家］	万円	2012
n71	耕地面積比率（耕地面積／総面積）	％	2013
n72	土地生産性（耕地面積１ヘクタール当たり）	万円	2012
n73	耕地面積（農家１戸当たり）	㎡	2013
